Date_commande,ID_produit,Quantite
2024-06-22,P001,87
2024-06-25,P001,200
2024-06-27,P001,167
2024-06-29,P001,88
2024-07-02,P001,187
2024-07-04,P001,172
2024-07-06,P001,89
2024-07-09,P001,174
2024-07-11,P001,150
2024-07-13,P001,71
2024-07-16,P001,182
2024-07-18,P001,249
2024-07-20,P001,105
2024-07-23,P001,156
2024-07-25,P001,147
2024-07-27,P001,93
2024-07-30,P001,194
2024-08-01,P001,163
2024-08-03,P001,133
2024-08-06,P001,183
2024-08-08,P001,169
2024-08-10,P001,82
2024-08-13,P001,183
2024-08-15,P001,155
2024-08-17,P001,96
2024-08-20,P001,146
2024-08-22,P001,182
2024-08-24,P001,82
2024-08-27,P001,194
2024-08-29,P001,147
2024-08-31,P001,72
2024-09-03,P001,151
2024-09-05,P001,165
2024-09-07,P001,88
2024-09-10,P001,176
2024-09-12,P001,123
2024-09-14,P001,81
2024-09-17,P001,139
2024-09-19,P001,150
2024-09-21,P001,86
2024-09-24,P001,125
2024-09-26,P001,161
2024-09-28,P001,86
2024-10-01,P001,130
2024-10-03,P001,117
2024-10-05,P001,79
2024-10-07,P001,106
2024-10-10,P001,106
2024-10-12,P001,74
2024-10-14,P001,177
2024-10-17,P001,150
2024-10-19,P001,95
2024-10-21,P001,108
2024-10-24,P001,102
2024-10-26,P001,55
2024-10-28,P001,117
2024-10-31,P001,104
2024-11-02,P001,89
2024-11-04,P001,130
2024-11-07,P001,110
2024-11-09,P001,55
2024-11-11,P001,103
2024-11-14,P001,125
2024-11-16,P001,50
2024-11-18,P001,83
2024-11-21,P001,118
2024-11-23,P001,82
2024-11-25,P001,120
2024-11-28,P001,107
2024-11-30,P001,64
2024-12-02,P001,181
2024-12-05,P001,135
2024-12-07,P001,68
2024-12-09,P001,63
2024-12-12,P001,145
2024-12-14,P001,65
2024-12-16,P001,153
2024-12-19,P001,133
2024-12-21,P001,79
2024-12-23,P001,106
2024-12-26,P001,102
2024-12-28,P001,73
2024-12-30,P001,118
2025-01-02,P001,104
2025-01-04,P001,54
2025-01-06,P001,126
2025-01-09,P001,155
2025-01-11,P001,57
2025-01-13,P001,134
2025-01-16,P001,113
2025-01-18,P001,31
2025-01-20,P001,105
2025-01-23,P001,116
2025-01-25,P001,84
2025-01-27,P001,105
2025-01-30,P001,87
2025-02-01,P001,60
2025-02-03,P001,131
2025-02-06,P001,89
2025-02-08,P001,75
2025-02-10,P001,128
2025-02-13,P001,113
2025-02-15,P001,68
2025-02-17,P001,101
2025-02-20,P001,121
2025-02-22,P001,62
2025-02-24,P001,145
2025-02-27,P001,146
2025-03-01,P001,73
2025-03-03,P001,121
2025-03-06,P001,95
2025-03-08,P001,83
2025-03-10,P001,119
2025-03-13,P001,132
2025-03-15,P001,86
2025-03-17,P001,149
2025-03-20,P001,43
2025-03-22,P001,93
2025-03-24,P001,167
2025-03-27,P001,177
2025-03-29,P001,71
2025-03-31,P001,160
2025-04-03,P001,134
2025-04-05,P001,88
2025-04-07,P001,171
2025-04-10,P001,146
2025-04-12,P001,93
2025-04-14,P001,141
2025-04-17,P001,239
2025-04-19,P001,82
2025-04-21,P001,176
2025-04-24,P001,131
2025-04-26,P001,98
2025-04-28,P001,163
2025-05-01,P001,117
2025-05-03,P001,97
2025-05-05,P001,152
2025-05-08,P001,180
2025-05-10,P001,112
2025-05-12,P001,153
2025-05-15,P001,141
2025-05-17,P001,82
2025-05-19,P001,165
2025-05-22,P001,161
2025-05-24,P001,124
2025-05-26,P001,179
2025-05-28,P001,171
2025-05-31,P001,96
2025-06-02,P001,163
2025-06-04,P001,192
2025-06-07,P001,120
2025-06-09,P001,179
2025-06-11,P001,174
2025-06-14,P001,130
2025-06-16,P001,207
2025-06-18,P001,203
2025-06-21,P001,82
2025-06-23,P001,199
2025-06-25,P001,215
2025-06-28,P001,104
2025-06-30,P001,204
2025-07-02,P001,147
2025-07-05,P001,107
2025-07-07,P001,182
2025-07-09,P001,204
2025-07-12,P001,97
2025-07-14,P001,177
2025-07-16,P001,182
2025-07-19,P001,128
2025-07-21,P001,221
2025-07-23,P001,176
2025-07-26,P001,105
2025-07-28,P001,158
2025-07-30,P001,163
2025-08-02,P001,99
2025-08-04,P001,183
2025-08-06,P001,181
2025-08-09,P001,109
2025-08-11,P001,181
2025-08-13,P001,195
2025-08-16,P001,99
2025-08-18,P001,185
2025-08-20,P001,175
2025-08-23,P001,61
2025-08-25,P001,177
2025-08-27,P001,170
2025-08-30,P001,98
2025-09-01,P001,154
2025-09-03,P001,197
2025-09-06,P001,104
2025-09-08,P001,155
2025-09-10,P001,183
2025-09-13,P001,89
2025-09-15,P001,175
2025-09-17,P001,156
2025-09-20,P001,80
2025-09-22,P001,130
2025-09-24,P001,157
2025-09-27,P001,101
2025-09-29,P001,155
2025-10-01,P001,171
2025-10-04,P001,94
2025-10-06,P001,150
2025-10-08,P001,140
2025-10-11,P001,83
2025-10-13,P001,150
2025-10-15,P001,143
2025-10-18,P001,73
2025-10-20,P001,124
2025-10-22,P001,138
2025-10-25,P001,75
2025-10-27,P001,134
2025-10-29,P001,165
2025-11-01,P001,98
2025-11-03,P001,105
2025-11-05,P001,130
2025-11-08,P001,66
2025-11-10,P001,111
2025-11-12,P001,122
2025-11-15,P001,103
2025-11-17,P001,133
2025-11-19,P001,134
2025-11-22,P001,157
2025-11-24,P001,130
2025-11-26,P001,150
2025-11-29,P001,68
2025-12-01,P001,180
2025-12-03,P001,135
2025-12-06,P001,93
2025-12-08,P001,159
2025-12-10,P001,153
2025-12-13,P001,87
2024-06-22,P002,162
2024-06-25,P002,254
2024-06-27,P002,279
2024-06-29,P002,136
2024-07-02,P002,305
2024-07-04,P002,273
2024-07-06,P002,146
2024-07-09,P002,294
2024-07-11,P002,255
2024-07-13,P002,129
2024-07-16,P002,294
2024-07-18,P002,204
2024-07-20,P002,128
2024-07-23,P002,270
2024-07-25,P002,237
2024-07-27,P002,117
2024-07-30,P002,250
2024-08-01,P002,238
2024-08-03,P002,174
2024-08-06,P002,271
2024-08-08,P002,222
2024-08-10,P002,111
2024-08-13,P002,273
2024-08-15,P002,311
2024-08-17,P002,179
2024-08-20,P002,308
2024-08-22,P002,221
2024-08-24,P002,153
2024-08-27,P002,296
2024-08-29,P002,202
2024-08-31,P002,146
2024-09-03,P002,304
2024-09-05,P002,178
2024-09-07,P002,126
2024-09-10,P002,227
2024-09-12,P002,192
2024-09-14,P002,131
2024-09-17,P002,246
2024-09-19,P002,216
2024-09-21,P002,128
2024-09-24,P002,237
2024-09-26,P002,225
2024-09-28,P002,122
2024-10-01,P002,201
2024-10-03,P002,181
2024-10-05,P002,136
2024-10-07,P002,262
2024-10-10,P002,266
2024-10-12,P002,127
2024-10-14,P002,239
2024-10-17,P002,150
2024-10-19,P002,109
2024-10-21,P002,255
2024-10-24,P002,210
2024-10-26,P002,111
2024-10-28,P002,224
2024-10-31,P002,154
2024-11-02,P002,67
2024-11-04,P002,197
2024-11-07,P002,149
2024-11-09,P002,131
2024-11-11,P002,207
2024-11-14,P002,252
2024-11-16,P002,113
2024-11-18,P002,232
2024-11-21,P002,191
2024-11-23,P002,121
2024-11-25,P002,170
2024-11-28,P002,173
2024-11-30,P002,153
2024-12-02,P002,229
2024-12-05,P002,209
2024-12-07,P002,87
2024-12-09,P002,218
2024-12-12,P002,225
2024-12-14,P002,60
2024-12-16,P002,231
2024-12-19,P002,213
2024-12-21,P002,74
2024-12-23,P002,164
2024-12-26,P002,227
2024-12-28,P002,105
2024-12-30,P002,275
2025-01-02,P002,206
2025-01-04,P002,103
2025-01-06,P002,206
2025-01-09,P002,193
2025-01-11,P002,107
2025-01-13,P002,125
2025-01-16,P002,172
2025-01-18,P002,120
2025-01-20,P002,177
2025-01-23,P002,371
2025-01-25,P002,120
2025-01-27,P002,174
2025-01-30,P002,176
2025-02-01,P002,141
2025-02-03,P002,241
2025-02-06,P002,189
2025-02-08,P002,139
2025-02-10,P002,228
2025-02-13,P002,216
2025-02-15,P002,124
2025-02-17,P002,174
2025-02-20,P002,180
2025-02-22,P002,127
2025-02-24,P002,261
2025-02-27,P002,203
2025-03-01,P002,108
2025-03-03,P002,203
2025-03-06,P002,217
2025-03-08,P002,47
2025-03-10,P002,248
2025-03-13,P002,209
2025-03-15,P002,156
2025-03-17,P002,243
2025-03-20,P002,202
2025-03-22,P002,110
2025-03-24,P002,278
2025-03-27,P002,230
2025-03-29,P002,125
2025-03-31,P002,234
2025-04-03,P002,198
2025-04-05,P002,118
2025-04-07,P002,286
2025-04-10,P002,283
2025-04-12,P002,168
2025-04-14,P002,184
2025-04-17,P002,237
2025-04-19,P002,182
2025-04-21,P002,210
2025-04-24,P002,250
2025-04-26,P002,130
2025-04-28,P002,249
2025-05-01,P002,215
2025-05-03,P002,163
2025-05-05,P002,408
2025-05-08,P002,295
2025-05-10,P002,160
2025-05-12,P002,227
2025-05-15,P002,239
2025-05-17,P002,112
2025-05-19,P002,210
2025-05-22,P002,244
2025-05-24,P002,150
2025-05-26,P002,289
2025-05-28,P002,280
2025-05-31,P002,124
2025-06-02,P002,263
2025-06-04,P002,127
2025-06-07,P002,165
2025-06-09,P002,249
2025-06-11,P002,328
2025-06-14,P002,155
2025-06-16,P002,329
2025-06-18,P002,307
2025-06-21,P002,156
2025-06-23,P002,270
2025-06-25,P002,355
2025-06-28,P002,177
2025-06-30,P002,310
2025-07-02,P002,297
2025-07-05,P002,148
2025-07-07,P002,300
2025-07-09,P002,275
2025-07-12,P002,134
2025-07-14,P002,264
2025-07-16,P002,295
2025-07-19,P002,146
2025-07-21,P002,314
2025-07-23,P002,268
2025-07-26,P002,174
2025-07-28,P002,270
2025-07-30,P002,295
2025-08-02,P002,149
2025-08-04,P002,336
2025-08-06,P002,330
2025-08-09,P002,159
2025-08-11,P002,304
2025-08-13,P002,291
2025-08-16,P002,165
2025-08-18,P002,329
2025-08-20,P002,244
2025-08-23,P002,118
2025-08-25,P002,249
2025-08-27,P002,249
2025-08-30,P002,166
2025-09-01,P002,279
2025-09-03,P002,283
2025-09-06,P002,169
2025-09-08,P002,333
2025-09-10,P002,279
2025-09-13,P002,142
2025-09-15,P002,276
2025-09-17,P002,286
2025-09-20,P002,160
2025-09-22,P002,340
2025-09-24,P002,275
2025-09-27,P002,118
2025-09-29,P002,212
2025-10-01,P002,289
2025-10-04,P002,131
2025-10-06,P002,200
2025-10-08,P002,308
2025-10-11,P002,134
2025-10-13,P002,209
2025-10-15,P002,208
2025-10-18,P002,134
2025-10-20,P002,261
2025-10-22,P002,215
2025-10-25,P002,165
2025-10-27,P002,230
2025-10-29,P002,202
2025-11-01,P002,109
2025-11-03,P002,250
2025-11-05,P002,198
2025-11-08,P002,134
2025-11-10,P002,176
2025-11-12,P002,214
2025-11-15,P002,113
2025-11-17,P002,210
